ssid,dgsolv
CCCCCl.CCN(CC)CC,-4.57
CCCCCC.Oc1ccccc1F,-4.69
CCO.c1ccccc1,-3.88
CCCCCCCO.c1cc2ccc3cccc4ccc(c1)c2c34,-11.76
Nc1ccccc1.CCC,-0.79
CCCCCCCCO.FC(C(F)(F)F)C(F)(F)F,-1.12
OCCO.O=C=O,-0.17
O.FC(F)(F)Br,1.79
O.OCc1ccccc1O,-10.22
CCCCOCCO.O=C(O)c1ccc([N+](=O)[O-])cc1,-12.50
CC(C)CO.Cc1ccc(C)cc1,-4.94
CN1CCCCC1=O.CCCCCC,-2.78
Nc1ccccc1.C=CC=C,-2.06
CC(C)O.c1ccc2cc3ccccc3cc2c1,-10.04
CCCCCCCCCCCCCCCC.CCCOCCC,-4.02
CCNC=O.CCC(C)(C)OC,-3.79
CCCCCCCO.O=C(O)c1cccc([N+](=O)[O-])c1,-11.94
O=CN1CCOCC1.CCCC(C)=O,-4.52
CC(C)CCO.O=C1c2ccccc2C(=O)c2c(Cl)cccc21,-12.71
OCc1ccccc1.CCC1CCCCC1,-4.14
CCO.O=C(O)CCCCCC(=O)O,-14.24
CCCO.CCC(C)CCC(C)C,-4.64
CCCCCl.ClCCCl,-4.42
COC(C)(C)C.O=c1c2ccccc2sc2ccccc12,-11.92
CCCCCCCCCCCCCC.N#N,1.24
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.CCO,-1.55
CC(C)(C)O.CC(F)F,-1.42
c1ccc(C2CCCCC2)cc1.C#CCCCC,-3.88
CCCCCCCCO.CCO,-4.43
ClC(Cl)(Cl)Cl.FC(F)(Cl)Cl,-1.92
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C.CCCCC,-2.80
O.CCOc1ccc(NC(C)=O)cc1,-10.91
CCCCCCCCCCCCCCCC.CCC(=O)CC,-3.73
OCCOCCO.CCCCO,-5.85
NC=O.CCCCCCOC(C)=O,-4.60
CCCCCCCO.FC(F)(F)F,1.25
O.CC(C)Br,-0.48
CN1CCCC1=O.FC(Cl)C(F)(F)F,-2.39
CCCCCCOC(C)=O.CCCCCC,-3.61
CCCCC(CC)CO.c1ccc2c(c1)Sc1ccccc1S2,-11.42
O=C1CCCCC1.O=O,1.13
CC(C)CC(C)(C)C.Cc1ccccn1,-4.69
CCCCOC(C)=O.CCC1CCCCC1,-4.99
OCCO.O=S=O,-2.88
Fc1ccccc1.C[N+](=O)[O-],-4.53
O.Cc1ccc2cc(C)ccc2c1,-2.37
CN1CCN(C)C1=O.CC(C)=O,-3.61
CC(C)O.COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,-19.25
[2H]O[2H].CCCO,-4.95
CC(C)OC(C)C.O=C(C(=O)c1ccccc1)c1ccccc1,-11.25
CCCCCCCCCC.CC(C)=O,-2.46
Cc1cccc(C)c1.Oc1cccc(Cl)c1,-8.05
CC(C)(C)O.CCCCCCCCCCCCCCCCCCCCCC,-13.31
O.CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-10.89
O=C1CCCCC1.CCCCCCC,-4.00
CN(C)C=O.Ic1ccccc1,-7.09
CCN1CCCC1=O.CCCCC,-2.25
Cc1ccccc1.CCCCC,-3.15
CCCCOCCCC.CCCC(=O)CCC,-5.60
CCC(C)O.O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,-18.12
Nc1ccccc1.C=CC(=C)C,-2.56
CC(C)=O.CCN(CC)CC,-4.05
CCOCCOCCOCC.CC(C)C(C)C(C)C,-4.33
NCCO.C1CCCCCC1,-2.41
CN(C)C=O.CCC,-0.88
CCCC(C)O.Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-9.45
CC(C)(C)O.CC=C(C)C,-3.22
CCOC(C)=O.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-15.95
CCOC(C)=O.C=C(C)C,-2.55
CCOCC.c1ccc2c(c1)Sc1ccccc1S2,-12.07
CCCCOC(C)=O.O=C(O)c1cccc(Cl)c1,-10.23
CCCC#N.CC(C)C(C)C(C)C,-4.14
CCCO.CCCCCCCCCCCCCCCCCCCCCCCCCCCC,-16.42
CCCCO.O=C(O)CCCCCCCCC(=O)O,-17.07
CCCCCCCO.O=C(O)c1ccc(Cl)cc1,-10.18
C=CCCCCCCCCCCCCCC.CCCC(C)(C)C,-3.70
c1ccc2ncccc2c1.C1=CCC=C1,-2.88
C=CCCCCCCCCCCCCCC.CCC(C)C,-2.66
CC(C)(C)O.COc1ccccc1C(=O)O,-11.01
CCCCCCCCCC.CCCCCC(=O)OC,-5.48
CNC=O.C=CCCCC,-2.55
Ic1ccccc1.CCCCC,-2.61
CCCCCCC.c1ccc2c(c1)Cc1ccccc1-2,-9.30
O.CC(C)I,-0.46
CC(C)=O.CC(C)(C)Br,-3.86
CC(C)CC(C)(C)C.c1ccc2c(c1)Cc1ccccc1O2,-9.39
CC(C)(C)O.CC,-0.68
Cc1ccc(C)cc1.CCCO,-3.73
CCCO.O=C(O)c1cccc(C(=O)O)c1,-13.64
CCCCCO.[HH],1.64
CN1CCCC1=O.FC(F)=CCl,-2.26
CCCCO.CCCC#N,-4.62
NC=O.CC(=O)CCCCC(C)C,-5.09
ClC(Cl)Cl.CN(C)C,-3.90
CCO.C1COCCO1,-4.68
CCC(C)=O.c1ccccc1,-4.49
Brc1ccccc1.CCC,-1.43
CC(C)O.O=C(O)CCC(=O)O,-12.31
OCCOCCO.c1ccccc1,-3.38
CN(C)C=O.CCl,-2.37
O.CC1CCC(C)O1,-2.92
CC#N.CCCc1ccccc1,-5.61
CC(C)CO.O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-13.73
CCCOC(C)=O.O=C1c2ccccc2C(=O)c2c(Cl)cccc21,-14.11
O.CCC(C)=O,-3.68
CCCCCCCCCCCCC.CCCC,-2.31
CCC#N.CCCCC,-2.59
CNC=O.Cc1ccc(C)cc1,-4.80
CC(=O)N(C)C.CC(C)(C)Cl,-3.10
O.Cc1cc(C)cc(C)c1,-0.77
CCCCCC.CC(C)CCO,-4.05
CC(C)CC(C)(C)C.Oc1ccc(Cl)cc1,-6.60
C1CCOC1.Brc1ccccc1,-6.45
C1CCOC1.CC(C)=O,-3.89
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C.CCCCCCC,-4.16
ClC(Cl)(Cl)Cl.C=CCC,-2.50
COCCO.CCCC(C)C,-2.53
Cc1ccc(C)cc1.CC#N,-3.44
COC(C)=O.CCCCCCCC,-4.49
BrC(Br)C(Br)Br.C1CCCCC1,-3.42
Cc1ccc(C)cc1.Clc1ccccc1,-5.52
CCCCCCCC.Cc1ccc(C=O)o1,-4.95
CCCCCCCCO.Clc1cccc(Cl)c1,-5.63
C1CCOC1.ClC(Cl)(Cl)Cl,-4.65
O.COC(=O)C(C)(C)C,-2.40
COC(C)(C)C.CCCCCCC,-4.68
CCCCO.CCCCl,-3.16
CCCCCCCCO.CCCOC=O,-3.64
CCCO.ClC(Cl)(Cl)Cl,-3.75
CCCCCCCCCC.CC(=O)CC(=O)c1ccccc1,-7.76
CN(C)C=O.CCC(C)C,-1.90
Nc1ccccc1.CC(C)CC(C)C,-2.55
CC(C)O.C=CC,-1.32
O.CCC=C(C)C,1.47
O.CC=CC=CC,0.61
CNC=O.CC(C)=O,-3.82
C=CCCCCCCCCCCCCCC.C=CCCCC,-3.48
O.NCCc1ccc(O)cc1,-11.85
CCCCOCCCC.c1ccc(-c2ccccc2)cc1,-8.85
CCCCCCCC.Cc1ccc(O)cc1C,-6.85
CO.CC(C)(C)C,-1.91
CCOC(=O)c1ccccc1C(=O)OCC.CC(C)=O,-3.53
O.CCc1cccc(O)c1,-6.25
Cc1ccccn1.CCO,-4.97
CS(C)=O.C=CC1CC=CCC1,-3.97
CCCCCC.c1cc2ccc3cccc4ccc(c1)c2c34,-11.54
CCCCCOC(C)=O.c1cc2ccc3cccc4ccc(c1)c2c34,-12.72
CCCCCC.CCCc1ccccc1,-5.55
c1ccc(C2CCCCC2)cc1.C1CCCCC1,-4.03
CC(C)=O.S,-1.90
C1COCCO1.O=S(=O)(c1ccccc1)c1ccccc1,-15.03
OCCO.CCCCC,-0.34
NC=O.CCCCCCCCCO,-7.22
C1CCOC1.CCN(CC)CC,-4.59
Cc1ccc(C)cc1.CCCCCC,-3.87
CCCCO.C(=Cc1ccccc1)c1ccccc1,-10.01
CCCCCCCCCCCCCCC.O=O,0.92
C1COCCO1.Fc1c(F)c(F)c(F)c(F)c1F,-4.23
CCC(C)(C)O.c1ccc2c(c1)-c1cccc3cccc-2c13,-11.35
CCCCCCCC.ClCCl,-2.86
CCCCCCCCO.OC1CCCCC1,-7.02
CCCCCCC.CCCCC(=O)CC,-5.42
O.O=[N+]([O-])c1ccc(Cl)cc1,-5.05
CCO.C1CCOC1,-4.09
CCCOC(C)=O.CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-25.06
O.O=c1[nH]cc(Br)c(=O)[nH]1,-18.17
CC(=O)N(C)C.c1ccc2c(c1)Cc1ccccc1-2,-10.37
CCCCCCC.[2H][2H],1.27
Cc1cccc(C)c1.[N]=O,0.79
CN1CCN(C)C1=O.CC(=O)CC(C)C,-4.91
OCCOCCO.CC(C)(C)Cl,-2.39
O=C1CCCCC1.C1CCCCC1,-3.85
CCOC(=O)c1ccccc1C(=O)OCC.CC(C)O,-3.75
CC(C)c1ccccc1.NC=O,-4.10
[2H]O[2H].CCCC(C)=O,-3.38
CO.CCOC(C)(C)C,-4.07
CCCCOCCCC.ClC(Cl)Cl,-4.16
OCCOCCO.CCOC(C)=O,-3.53
OCCS.CCCCCC,-1.90
ClC(Cl)(Cl)Cl.CN(C)C,-2.89
COCCO.C1=CCCCC1,-3.48
