ssid,logs
CCO.O=c1[nH]c(=O)[nH]c(=O)[nH]1,-2.21
CC(C)=O.CC(C)Cc1ccc(C(C)C(=O)O)cc1,-2.05
c1ccccc1.O[C@H]1C=Cc2ccccc2[C@@H]1O,-1.78
O.NS(=O)(=O)c1cc2c(s1)CC(O)CS2(=O)=O,-1.59
O.c1ccc2cc3cc4ccccc4cc3cc2c1,-8.60
O.O=C(OCC(=O)N1CCC(O)CC1)c1ccccc1,-1.35
c1ccccc1.c1ccc2cc3cc4ccccc4cc3cc2c1,-2.02
O.ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-7.28
CCO.O=C1c2ccccc2C(=O)c2ccccc21,-1.78
CCO.O=C(O)Cc1ccc(O)cc1,0.36
O.C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,-3.85
O.O=c1ccc2nc3ccccc3sc-2c1,-3.72
CC(C)=O.O=C(Nc1ccccc1)c1cnc(C(=O)Nc2ccccc2)cn1,-3.50
CC(C)=O.CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccccc1,-1.86
CC(C)=O.CCCCCCCCCCCCCCCCCCCCCCCC,-2.59
CC(C)=O.O=P1(c2cc(O)c3ccccc3c2O)Oc2ccccc2-c2ccccc21,-1.90
O.COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,-3.28
CCO.CC(=O)NNC(C)=O,0.12
CCO.COc1ccc(C=O)cc1OC,0.74
O.Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,-3.80
CC(C)=O.O=C(OCOC(=O)c1ccccc1)c1ccccc1,-0.26
O.CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.63
c1ccccc1.O=C(O)CCCCCCCCCC(=O)O,-3.82
CCO.Oc1ccc(O)cc1,0.53
c1ccccc1.Nc1cccc([N+](=O)[O-])c1,-0.81
CCO.COc1c(O)ccc2c1C(=O)c1c(O)cc(C)cc1C2C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-1.89
O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0.79
CC(C)=O.O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-0.08
CCO.Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-2.44
O.ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.51
CC(C)=O.Clc1ccc(Cl)cc1,0.59
O.CCCC(O)C(CC)CO,-0.54
O.COCCN(CCOC)C(=O)COC(=O)c1ccccc1,-1.57
CCO.C=CCNC(=S)NNc1ccc([N+](=O)[O-])cc1,-0.89
CCO.CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)C(C)C)CC[C@]4(C)[C@H]3CC[C@@]21C,-2.06
CCO.CC(=O)CC1=C(C(C)(C)[C@H]2C(=O)OC(C)C2=O)C(=O)O[C@@H]1C,-0.69
CCO.CCC(NC=O)C(=O)O,-0.45
O.O=C(O)CCCCCC(=O)O,-0.25
c1ccccc1.CSCC12CSCC(C1)C(C)=CC2=O,0.23
CC(C)=O.O[C@H]1CC[C@H](O)CC1,-0.78
O.CN1C2CCC1CC(OC(=O)[C@H](CO)c1ccccc1)C2,-1.72
CCO.CCC(C)C(N)C(=O)O,-2.49
CCO.CC(=O)Nc1ccccc1,0.23
O.CC(C)N(C(=O)CCl)c1ccccc1,-2.48
CC(C)=O.CCCCCCCCCCCCCC(=O)CCCCCCCCC(=O)O,-2.27
O.CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C=CC4(C)C3CCC21C,-4.95
CCO.Nc1c(Cl)cccc1Nc1ccccc1,-0.69
CC(C)=O.c1ccc(C2OC[C@H]([C@@H]3O[C@H](c4ccccc4)O[C@@H]4CO[C@H](c5ccccc5)O[C@H]34)O2)cc1,-1.98
CC(C)=O.NC(=O)c1cccc(O)c1,-0.54
CCO.CC(OC(=O)NC(N)=O)c1ccccc1,-1.49
O.Cc1c(C)c2c3ccccc3ccc2c2ccccc12,-7.01
CC(C)=O.CC1(C)[C@@H]2CC[C@@]1(C)C(=O)/C2=C(\O)c1ccccc1,-0.24
O.CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,-0.82
c1ccccc1.CC1(C)C=Cc2c(ccc3ccc(=O)oc23)O1,-0.01
CCO.c1ccc(Nc2ccc(-n3nc4ccccc4n3)cc2)cc1,-1.16
O.CN(C)C(=O)N(C)C,0.94
c1ccccc1.OC(C=CC(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,-3.40
CCO.COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC,-3.10
O.O=C(O)C1=C/C(=N\Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,-6.14
