ssid,dgsolv
FC(F)C.Fc(ccc1N(=O)=O)cc1O,-7.92711022
COCCOCCOCCOC.CC(C)C(CC1C(C)=O)CC=C1C,-8.43126767
COC(OC)=O.O=C(OCCc1ccccc1)Cc2ccccc2,-13.25053944
N1CCCCC1.CCC1(CC)C(=O)NC(=O)NC1=O,-16.1811543
CCCCOCCCC.C(C=Cc1cc2)c1cc2,-6.47206662
ClCCCl.OCCNCCO,-8.70833628
c1ccccc1.CC2C(C)(C)C1=C(CCCC1=O)C2(C)C,-11.06037753
CCCCCCCCCCCC.Nc(ccc1O)cc1N(=O)=O,-8.00958449
COCCOCCOCCO.ON(C)C,-5.38114286
FC(F)C.CCC(Cl)N(=O)=O,-6.02781764
COc1ccccc1.CC1=CC(CCC1)=O,-7.88758197
CN1CCCCC1=O.SC(S)=S,-8.1325231
OCC(O)CC.FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,-0.20869031
CC(C)(C)Cl.COc(ccc1N)cc1C,-9.10096745
c1ccccc1.CCCN(CCC)c1c(cc(C(F)(F)F)cc1N(=O)=O)N(=O)=O,-14.06927175
CI.COc1c(C(O)=O)c(Cl)ccc1Cl,-11.14757665
CC(OCc1ccccc1)=O.OC(N)C(Cl)(Cl)Cl,-8.40222719
CCOc1ccccc1.FC1OC(F)(F)OC1(F)C,-4.121138
CCCCCC.Cn1cccc1,-4.5862196
Fc1ccccc1.Fc1cccc(F)c1C#N,-7.18037516
OC(C)=O.Oc1ccccc1S,-8.38459304
n1ccccc1.FCOCCCC,-4.70221323
COC.n2nc1ccccc1cc2,-10.30548387
N#CCc1ccccc1.CCCCCCCCCCON=C1CC=CCC1,-11.7433132
O=Cc1occc1.OC(=O)c1occc1,-10.03794847
CCOP(OCC)(OCC)=O.CC(=O)NC(=O)NC(C)=O,-13.01591568
C(CCc1cc2)Cc1cc2.c(ccc1c(c6)c2c4c3c6cccc3c5)cc1c2ccc4c5,-15.72257086
N#CCCCC#N.COc1cccc(C(O)=O)c1OC,-12.36874582
ClCCCl.CCC(C)(C)OC(C)=O,-6.17403407
ClB(Cl)Cl.C1CSCSC1,-7.17558331
OCCCCCCC.CCC(CC(C)(C)c1ccccc1)=O,-9.21887516
CCCCC=C.NC1NNNN1,-6.23104638
C=CC=C.CSCCCCC#N,-9.1196649
Cc1ncccc1C.OCC(OC1(O)CO)C(O)C1O,-17.08741147
C(CC2)CCC2c1ccccc1.CC=Cc2cc1OCOc1cc2,-8.35186327
CCCCCCCl.CCC(Cl)(Cl)N(=O)=O,-5.73558125
Cc1ncccc1C.Cc2cc1CCCc1cc2,-6.86300975
N#Cc1ccccc1.OC1CCC1,-5.44163955
ClCBr.CC1(C)COP(C)(OC1)=O,-12.39169745
O(Cc2ccccc2)Cc1ccccc1.FCC(OC)C(F)(F)C,-4.34086693
OCCCO.O=C(C2(C3)CC(CC1C2)CC3C1)N,-12.02992895
Brc1ccccc1.CC(=O)c(cc1)ccc1F,-7.44402475
CCCCCCCCCCCCC.O=C5C6CN(CC5CN(C6)C(c4ccccc4)c3ccccc3)C(c2ccccc2)c1ccccc1,-22.52891902
CCC(C)=C.CSc1cnccn1,-7.1707996
CC(C)CC(C)C.CC(=O)c(cc1)ccc1Cl,-7.13058147
CCC(C)c1ccccc1.CCNc(ccc1)cc1C,-7.93571949
OCc1occc1.FC(F)(C)C(F)(F)Cl,-2.43530681
ClC(Cl)C(Cl)Cl.Clc1cc(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)N,-19.44431546
S=C=S.CCCCC(CC)CC,-6.17310486
CCCCNCCCC.FC(O)Cl,-7.13153032
COc1ccccc1.C(CCC3)CCCC3(C4(CCCCCCC4)c2ccccc2)c1ccccc1,-18.32186188
CC(=C)C#C.CC(C)CCCC(C)C(=C)C=O,-8.56192003
CCCOCC(O)C.CC(CCC1CC2)=CC1=CC2=O,-10.69706907
BrCCBr.CCOC(CF)C(F)(F)C(F)(F)F,-4.27209381
CC(C)c(cc1)ccc1C.CCC(O)(C)CCC=C(C)C,-8.10709272
CCCCN(CCCC)C=O.FC(F)(F)OCC(C(F)(F)F)C(F)(F)F,-4.06656391
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.CCOC(F)(OC)C(F)(F)F,-2.76919981
NCCN.CCCCCC=CCO,-7.8585218
CCNCC.CCc(cnc1C(=NC2(C)C(C)C)NC2=O)cc1C(O)=O,-18.15696676
Cc1ccccc1N(=O)=O.Cc3c1CCc(c1c5cc3)c4ccc2ccccc2c4c5,-15.45012319
C(CCc1cc2)Cc1cc2.CCCCCC(=O)N1CCOCC1,-10.3268919
CC(C)c(cc1)ccc1C.CCCCCCCCCCBr,-8.92242067
CCC#N.OC(C)(C)Cc1ccccc1,-8.87333153
COc1ccccc1.CCCC(F)C(F)F,-4.15201372
CCCCCCCl.COC(=O)c(cc1)ccc1O,-9.42629974
