ssid,dgsolv
COC(OC)=O.O=Cc1cc(C=O)ccc1,-9.65506062
OCCCCCCCCCCCC.OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-12.61993681
Cc1ccccc1N(=O)=O.FC(F)(F)C(C)C(F)(F)Cl,-3.5507293
FC(F)C.CCCCCCCCCCCC=C,-7.57675692
CCCCCCCCCCCCCCC.O=C1CCc2c1cccc2,-6.71176256
NCC.FC(F)(Cl)OC=O,-4.71287054
OCCOCC.N#CSC#N,-5.60064526
FC(F)C.NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1,-14.97843451
CCNCC.CCOC(CCC)=O,-5.31595541
CCC(C)C.OCCNCC,-4.40621002
C1CC=CCC1.Cn1cnc2c1c(=O)n(C)c(=O)n2C,-11.43769314
FC(F)C(F)C(F)(F)F.CCCC(F)(C(F)(F)F)C(F)(F)F,-3.70733728
COC(OC)=O.CCC(Cl)(Cl)N(=O)=O,-5.81219695
CCC1OC1.c(cc1)ccc1C(c4ccccc4)(c3ccccc3)c2ccccc2,-17.11268299
CCCCC(C)=O.FCC(C)(C(F)(F)F)C(F)(F)F,-3.80718859
CNc1ccccc1.CCCNC(=O)N,-10.51588531
OCc1ccccc1.COC(CC)C(F)(F)F,-3.54372665
Cc1cc(C)ccc1.FCCOC(F)(F)F,-3.31398254
ClC(Cl)(Cl)Cl.CCCCCCCCC1OC(CC1)=O,-11.2660634
C(CC1)CCC1C2CCCCC2.c(cc1)ccc1NNc2ccccc2,-10.29962842
OCCCCC.COc(ccc1n2=O)cc1no2,-8.7677516
N#CCc1ccccc1.N=CN,-6.17174632
ClCC(C)C.FC(F)C(F)(F)OC(F)(F)C,-3.68250933
COC(OC)=O.FC(F)(F)C(F)=C,-1.49213971
FC(F)(F)C(F)(F)C(F)(F)F.C1CCCCCCCCCCCCCCCC1,-9.63828856
CCC(C)CC.CCOC(F)(F)C(F)C(F)(F)F,-3.33465521
Fc1c(F)c(F)c(F)c(F)c1F.ClC(Cl)C(F)(F)C(Cl)(Cl)Cl,-6.11133259
OC1CCCCC1.OC(=O)Cc(cc1)ccc1F,-10.8971656
CC(Cl)Cl.FC(F)(F)c1ccccc1O,-7.27376938
Cc1ncccc1C.O=N(=O)c1sccc1,-8.50841055
C(C=Cc1cc2)c1cc2.OC(C)(C)C1CC=C(C)CC1,-8.33528335
ClC(=C)C=C.ClCCC(C)C,-4.79482696
Cc1cc(C)cc(C)c1.FC(F)OC(F)(F)F,-1.28923654
n1ccccc1.OC(=O)c(cc(Cl)cc1N)c1Cl,-17.48998989
CCC(C)=O.OCCC=C(F)F,-5.73920883
CCCCCCCCCC.OCc(cnc1C)c(CO)c1O,-9.43789258
CCCCNCCCC.Clc3cc2Oc1ccccc1Oc2cc3Cl,-11.47177105
Cc1cccc(C)c1C.CCCCC1OC(CC1)=O,-8.76730404
CC(CC(C)=O)=O.Cc2cccc3c2n1cnnc1s3,-14.22145011
OC1CCCCC1.CCSCC,-4.28198234
FCCCCCCCC.FC(C)C(F)C(F)C,-4.28424724
CCCCl.CCC=C(C)C=C(C)C,-5.7975537
OC(C)=O.OC(CNC(C)(C)C)COc1cccc(CC2O)c1CC2O,-22.35742052
ClC(Cl)C(Cl)Cl.FC(F)(F)c1c(F)c(F)c(Nc(c(F)c2F)c(F)c(F)c2F)c(F)c1F,-9.2171419
O.Oc2ccc(O)c3c2C(=O)c1ccccc1C3=O,-7.30959038
C(CCc1cc2)Cc1cc2.FC(F)OC(F)(F)C(F)C(F)(F)F,-2.67630108
CC1CCCC1.CNCC=C,-3.36718506
CCN(CC)C(C)=O.CN(C)C(C)C(O)c1ccccc1,-9.72021472
Brc1ccccc1.CCCSP(OCC)(Oc1ccc(Br)cc1Cl)=O,-15.13787111
OCCCCCO.Clc1ccc(cc1)C(=O)NS(C(F)(F)F)(=O)=O,-14.28542174
Cc1cccc(C)c1C.CC2(C)OC1(C)CCC2CC1OC(C)=O,-9.47451076
CCC(C)Cl.Sc1cscc1,-7.00897035
CN(C)C=O.CCCCCCCCCCCCCCCCCCCC,-9.78665525
